having_online_order,not_having_online_order
Amigos Kitchen,
Teapoy Mutiny,
Leon Grill,
Giselle Resto Cafe,
Empire Restaurant,
McDonald's,
The Local,
Cafe Nukkad,
Yomama!!,
Breezy Cow Bar,
Meghana Biriyanis,
Waffle Stories,
Oye Hoye,
Andhra Biryanis,
Just Shawarma,
Pathaan Sir,
Hyderabad Biryaani Palace,
Delicacy,
Sri Durga Nellore Mess,
Kitchen King,
Onesta,
Chaat Street,
Jai Mataji Farshan & Sweets,
Mainland China,
The Mangalorean,
Khyma Biryani,
Sri Ruchi Restuarant,
Mani's Dum Biryani,
Tamarind,
Sreeraj Lassi Bar,
Rahhams,
Patio - The Resto Cafe,
The Juice Shop - Juicery And Kitchen,
Brewklyn Microbrewery,
OKI,
Mahadii's,
Noodles,
Kanthari,
Donne Biriyani Mane,
Saffron Vegetarian Cuisine,
China Pearl,
Punjab Bistro,
Sunny Side Bistro,
Hotel The Shack,
Vera Italiano,
Sherlock's Pub,
Marakachi,
DinePost9,
Wok N Roll,
The Second Wife,
Eatapita,
Hoppipola,
Mojo Pizza - 2X Toppings,
Upsouth,
Bottoms Up Resto Bar,
Belgian Waffle Factory,
Polar Bear,
Cream Stone,
Sweet Truth,
Ibaco,
Just Bake,
Sreeraj Lassi Bar,
Avista Cafe Pizzeria,
Jai Mataji Farshan & Sweets,
Casa De Goa,
Cafe Azzure,
Brewklyn Microbrewery,
Mainland China,
Zamindar,
Hoppipola,
Cafe Pink Pajamas,
The Local,
Sherlock's Pub,
Keto Kitchen,
Bottoms Up Resto Bar,
Marakachi,
Vera Italiano,
China Pearl,
Delicacy,
Khyma Biryani,
Donne Biriyani Mane,
Food Magic Restaurant,
Mani's Dum Biryani,
Cafe Coffee Day,
Chaai Resto,
Ammi's Biryani,
Kanthari,
Chaat Street,
Matru Sagar,
Leon Grill,
Oye Hoye,
American Bites,
Cafe Nukkad,
Cafe 99 Kerala Mess,
Goli Vada Pav No. 1,
Onesta,
Connie's Restaurant & Steakhouse,
Giselle Resto Cafe,
OKI,
Mahadii's,
The Mangalorean,
Savoury Restaurant,
Empire Restaurant,
Hyderabad Biryaani Palace,
Yomama!!,
Rahhams,
Sukh Sagar,
Burger King,
Just Shawarma,
Eatapita,
KFC,
Anu Momos Chinese Kitchen,
Faasos,
JS Food Court,
Pathaan Sir,
McDonald's,
Sri Durga Nellore Mess,
Sri Ruchi Restuarant,
Avista Cafe Pizzeria,
Saffron Vegetarian Cuisine,
Teapoy Mutiny,
Patio - The Resto Cafe,
Sanky's Burger House,
Taste Of Nawaabs,
Amigos Kitchen,
Noodles,
Pizza Stop,
Brewklyn Microbrewery,
The Local,
Hoppipola,
Sherlock's Pub,
Bottoms Up Resto Bar,
Giselle Resto Cafe,
Onesta,
Yomama!!,
Cafe Azzure,
Cafe Pink Pajamas,
Patio - The Resto Cafe,
Chaai Resto,
Avista Cafe Pizzeria,
Sunny Side Bistro,
Polar Bear,
FreshMenu,
Cafe 99 Kerala Mess,
Leon Grill,
Corner House Ice Cream,
Just Shawarma,
Empire Restaurant,
Chaat Street,
Belgian Waffle Factory,
Onesta,
Leon's Take Away,
Pathaan Sir,
Paul's Dum Biryani,
Delicacy,
Cream Stone,
Kijiji - Chal Yaha Khate Hai,
Matru Sagar,
Kitchen King,
KFC,
Sanky's Burger House,
Ovenstory Pizza,
Brahmins' Thatte Idli,
Donne Biryani Kuteera,
Sukh Sagar,
Matsya Loka,
BOX8- Desi Meals,
Behrouz Biryani,
Kapoor's Punjabi Rolls,
Hyderabad Biryaani Palace,
Sweet Truth,
Keto Kitchen,
Connie's Restaurant & Steakhouse,
Brewklyn Microbrewery,
WOW! Momo,
Foodies Choice,
Sikori,
Wangs Kitchen,
Pizza Stop,
Cafe Pink Pajamas,
YumYumDilli,
Goli Vada Pav No. 1,
JS Food Court,
Anu Momos Chinese Kitchen,
Taste Of Nawaabs,
Marwari Basa,
Faasos,
One For The Road,
Savoury Restaurant,
Jai Mataji Farshan & Sweets,
Avista Cafe Pizzeria,
Wok N Roll,
Mani's Dum Biryani,
InnerChef,
OKI,
Cafe Coffee Day,
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,
Sri Ruchi Restuarant,
Food Magic Restaurant,
Casa De Goa,
Chaai Resto,
Marhaba,
Rahhams,
Frozen Bottle,
The Local,
Sheesh Kebab,
Teapoy Mutiny,
American Bites,
Noodles,
Amigos Kitchen,
Cafe Nukkad,
Yomama!!,
Breezy Cow Bar,
Giselle Resto Cafe,
McDonald's,
Waffle Stories,
Khyma Biryani,
Ammi's Biryani,
Sherlock's Pub,
Oye Hoye,
Mahadii's,
Vijaya Gardenia,
Punjab Bistro,
Patio - The Resto Cafe,
Meghana Biriyanis,
Sreeraj Lassi Bar,
Hotel The Shack,
Andhra Biryanis,
Berakah,
Tamarind,
Sri Durga Nellore Mess,
Mojo Pizza - 2X Toppings,
The Juice Shop - Juicery And Kitchen,
Marakachi,
North Indian Bhukkads,
Zamindars Biryani Durbar,
Mainland China,
The Mangalorean,
Eat At Nite,
Sunny Side Bistro,
Vera Italiano,
Donne Biriyani Mane,
Kanthari,
Saffron Vegetarian Cuisine,
DinePost9,
Zaica Dine & Wine,
China Pearl,
Jumping Beans,
Belly Deli,
The Filter Coffee,
Bottoms Up Resto Bar,
The French Loaf,
Eatapita,
The Second Wife,
Cafe Azzure,
Upsouth,
Hoppipola,
Sreeraj Lassi Bar,
Belgian Waffle Factory,
Polar Bear,
Cream Stone,
Waffle Stories,
Sweet Truth,
Ibaco,
Jai Mataji Farshan & Sweets,
Avista Cafe Pizzeria,
Onesta,
Connie's Restaurant & Steakhouse,
Giselle Resto Cafe,
OKI,
Mahadii's,
The Mangalorean,
Savoury Restaurant,
Empire Restaurant,
Hyderabad Biryaani Palace,
Yomama!!,
Rahhams,
A2B - Adyar Ananda Bhavan,
Sukh Sagar,
Burger King,
Just Shawarma,
KFC,
Anu Momos Chinese Kitchen,
Faasos,
JS Food Court,
Pathaan Sir,
Float Brewery,
Brewklyn Microbrewery,
Zamindar,
Cafe Azzure,
Hoppipola,
Sri Durga Nellore Mess,
Cafe Pink Pajamas,
Casa De Goa,
The Local,
Tamarind - Tamarind Hospitality,
Sherlock's Pub,
Keto Kitchen,
Sri Ruchi Restuarant,
Little Italy,
FireHouse - Bar & Kitchen,
Saffron Vegetarian Cuisine,
Marakachi,
Vera Italiano,
Hungry Vihaari,
China Pearl,
Vijaya Gardenia,
Patio - The Resto Cafe,
Delicacy,
Khyma Biryani,
Taste Of Nawaabs,
Donne Biriyani Mane,
Food Magic Restaurant,
Mani's Dum Biryani,
Amigos Kitchen,
Noodles,
Cafe Coffee Day,
Chaai Resto,
Kanthari,
Chaat Street,
Donne Biryani Kuteera,
Matru Sagar,
Leon Grill,
Oye Hoye,
Upsouth,
American Bites,
Cafe Nukkad,
Pizza Stop,
Cafe 99 Kerala Mess,
WOW! Momo,
Sanky's Burger House,
Sunny Side Bistro,
The Local,
Brewklyn Microbrewery,
Hoppipola,
Sherlock's Pub,
Bottoms Up Resto Bar,
Sultans of Spice,
Buff Buffet Buff,
Asia Kitchen By Mainland China,
Bonsouth,
Empire Restaurant,
Magnolia,
Tangerine - Davanam Sarovar Portico Suites,
Savoury Restaurant,
Atithi,
Mr. Beans - Home Cafe,
Qube Cafe,
Terra Bites,
Cafe Coffee Day The Lounge,
Oregano Pizzeria,
Zee5 Loft,
Blue Tokai Coffee Roasters,
Bearfoot Cafe,
YORK St.,
Roundup Cafe,
Cafe D'hide,
99 Pancakes,
Waffle Magic,
154 Breakfast Club,
Fresh Pressery Cafe,
The Yogisthaan Cafe,
WTF,
Entropy Cafe,
Tella Tales,
Dreams Cafe - All Day English Food St.,
Mudpipe Cafe,
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,
Bakers Town,
Foodiesthan,
Fish Chain,
Sai Abhiruchi,
FreshMenu,
The Paratha Company,
Capsicum Family Restaurant,
Shiv Shakthi,
La Pino'z Pizza,
Shanmukha,
Gogula's Sweets & Chats,
Sardarji Londonwaley,
Leon Grill,
Chaat Street,
XO Belgian Waffle,
Truly Punjab,
BOX8- Desi Meals,
Kannur Food Point,
Abhiruchi Hotel,
Delhi Food Point,
Sri Ganesh Juice Junction,
Al-Bek,
Aligarh House,
Just Shawarma,
Kota Kachori,
Sagar Fast Food,
Hatti Punjab Di,
Wok Paper Scissors,
Corner House Ice Cream,
Roti Wala,
Empire Restaurant,
Apna Punjab,
Onesta,
Biryani Pot,
Subway,
Dum Biryani Hub,
Madeena Hotel,
Swad Punjab Da,
Chai Point,
KFC,
Punjabi Dhaba,
Maa Bhook Lagi,
Vegan Heat,
Bihar Ki Shan,
Savoury Restaurant,
Royal Biryani Kitchen,
Sangam Sweets,
Al Daaz,
Kaaram,
Sulemani Chichas,
Behrouz Biryani,
The Biriyani Pedia,
Polar Bear,
South Tiffins,
Ghee Biryanis,
Alankrutha,
Asha Tiffins,
Ovenstory Pizza,
The Shawarma Shop,
Kabab Magic,
Sri Vishnu Park,
Aasife & Brothers Biriyani Centre,
McDonald's,
Chaatimes,
Potful,
Krishna Sagar,
Sri Udupi Park,
Pathaan Sir,
Noodle Panda,
Odissi Restaurant,
Delite Chaat House,
Chaiwala,
Savoury - Sea Shell Restaurant,
C. K. Mega Hot Food,
Grow Fit,
Yum In My Tum,
ONE IN A MELON,
Tarbouche,
Stoned Monkey,
Szechuan Dragon,
Bubble Bee,
Podi Idly,
Vijayalakshmi Veg,
The Pancake Story,
Howlin Wolf,
Moolehatti Donne Biryani Mane,
Rolla Rappa,
Punjabi Nawabi,
Khai Khai,
Indiana Burgers,
Gorbandh,
Zee5 Loft,
Tall Blonde French,
Mealer.in,
Belgian Waffle Factory,
WTF,
What'sinaPita,
Chowpatty,
Le Gateau - The Cake Shop,
Fritz Haber,
Krispy Kreme,
Punjab Di Shaan,
House Stark Cafe,
Magix's Parattha Roll,
99 Pancakes,
Tenzin Kitchen,
Tibetan Kitchen,
Dosa Plaza,
PHEW (Play Hard Eat Wild),
Roundup Cafe,
Foodiesthan,
Waffle Magic,
Makers of Milkshakes,
Nutri Rich,
Waffle Head,
The Rasaganga,
Barbeque Delight,
Tapri By The Corner,
WAFL Co,
Sri Dalma,
Anda Ka Funda,
Bangalore Cafe,
Rusbury Fresh Sweets And Savouries,
Tea Villa Cafe,
Gramin,
Bearfoot Cafe,
Laddoos,
Keventers,
Paisa Vasool,
Davanagere Benne Dose,
Pappu Chaiwalla,
Firangi Bake,
Pizza Stop,
Kairali,
Krem,
Mitran Da Junction,
The Litti Company,
El Salver,
Fresh Pressery Cafe,
WOW! Momo,
Hotel Junior Kuppanna,
Fillers,
Bakers Town,
Cream Chemistry,
Friend's Cafe,
TRUE BLEU RESTO CAFE,
Bakingo,
Blue Tokai Coffee Roasters,
Under The Hood,
Juice Junction,
Amour Fine Patisserie,
Biryani Miya,
EggFactor - Street House,
1000 B.C,
Sweet Truth,
Meat And Eat,
Frozen Bottle,
Bun Town,
Ramji Chaiwale,
Karahi Kitchen,
YORK St.,
The Ganache Factory,
Zangos Grill,
Faasos,
What's In A Name,
Ulavacharu,
Hunger Hitman,
Shaap,
Midnight Mania,
Coffee Tea & More,
Petoo,
Wangs Kitchen,
The Mylapore Cafe,
Pabrai's Fresh & Naturelle Icecreams,
Northam's Pizza.Pita,
Seven Ate Nine,
The Tandoori Chai,
Srinidhi Sagar Deluxe,
The Yogisthaan Cafe,
Desipun,
Bangaliana,
Smokey Tribe Restaurant,
Aalishan Restaurant & Caterer,
The Waffle Street,
Broadway - The Gourmet Theatre,
Caffe Pascucci,
Chaai Resto,
Mudpipe Cafe,
Parika Multicuisine & Coastal Fine Dine,
Shift,
Chaska Bun,
Sagar Fast Food,
Juicy Momos,
As On Fire,
Koshe Kosha,
Mishmash,
Terra Bites,
The Marash,
HSR Agarval Bhavan,
Spicy Kitchen,
Yummy Biryani,
Litti Twist,
Chapati House,
Birinz,
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,
The Beer Cafe,
Via Milano,
Sonar Bangala,
Indori Chatorey,
Cafe D'hide,
Mr. Beans - Home Cafe,
Mid Night Hunting,
Purnabramha Maharashtrian Restaurant,
Vyanjan,
Bathinda Junction,
Calorie Express,
Yum Kitchen,
Meghana Foods,
Taj Darbar,
Juice Junction Food Court,
Sunny Cafe & Kitchen,
Mak n Vak - Fyn,
Cookie Man,
Haagen Dazs,
Potato Bae,
Zero Mile Punjab,
Qube Cafe,
Laziz Pizza,
Little Lucknow,
Mountain Spice,
Tangerine - Davanam Sarovar Portico Suites,
Uday Sweets,
Rolls & Co,
Kadal Da Meen,
New Punjabi Hotel,
ReFresh Juice Junction,
Nasi And Mee,
TOKI Taco House,
Oregano Pizzeria,
Entropy Cafe,
Kinpeetos,
Pipabu,
Funky Punjab,
Once Upon A Flame,
The Vape,
Tharavadu,
Just Bake,
Fill N Chill Resto Bar & Pub,
Cafe Mondo,
Dreams Cafe - All Day English Food St.,
PagalKhana,
Habitts,
Tandoor Garden,
Asia Kitchen By Mainland China,
Hotel Tom's Restaurant,
Mid-Night Crunch,
Desi Flavours,
Min Mini Punjabi Dhaba,
Roots,
Hyderabad Biryaani Home,
Mustard Food Court,
Vintage Shack,
Cashmere Nites,
Kumarakom,
Ghee Positive,
Helloo Delhi,
Indus Family Restaurant,
Buff Buffet Buff,
Rajan's Cafe,
Brewz Coffee,
The Kream Story,
Rollin,
DinePost9,
Sultans of Spice,
Atithi,
Kick Out the Jams,
Bonsouth,
B.M.W - Bhookh Mitaane Wala,
Nite Out,
Dragon's Kitchen,
Magnolia,
Eatsomnia,
Polamma's Mess,
Dhaba Express,
154 Breakfast Club,
Kevins Kitchen,
BIB - Breakfast in the Box,
Zero Kelvin,
Tongue Twisters,
Kapoor's Biriyani,
Sagar Fast Food,
Carrots,
Banana Beach Bar,
Punjabi Chulha,
Raj Darbar,
Mojo Pizza - 2X Toppings,
Kitchens@HSR,
Hello Resto-Pub,
Haji Ali Juice Centre,
#L-81 Cafe,
Halo Chef,
Tella Tales,
Zero Kelvin,
Oregano Pizzeria,
The Bier Library,
Bonsouth,
Zee5 Loft,
XO Belgian Waffle,
Roundup Cafe,
Carrots,
Tangerine - Davanam Sarovar Portico Suites,
Corner House Ice Cream,
Krem,
Vegan Heat,
99 Pancakes,
Polar Bear,
Frozen Bottle,
The Marash,
Belgian Waffle Factory,
Fresh Pressery Cafe,
The Belgian Waffle Co.,
Cream Chemistry,
Just Bake,
Krispy Kreme,
Haagen Dazs,
Cookie Man,
Haji Ali Juice Centre,
Lassi Shop,
Sangam Sweets,
WAFL Co,
The Kream Story,
Stoned Monkey,
Uday Sweets,
Bakingo,
Gogula's Sweets & Chats,
The Ganache Factory,
Bubble Bee,
Nasi And Mee,
The Beer Cafe,
Via Milano,
Pipabu,
PagalKhana,
Qube Cafe,
Terra Bites,
Fill N Chill Resto Bar & Pub,
Cafe Coffee Day The Lounge,
Helloo Delhi,
Oregano Pizzeria,
La Pino'z Pizza,
Rollin,
Pizza Stop,
WOW! Momo,
The Bier Library,
Buff Buffet Buff,
Ulavacharu,
Sultans of Spice,
Asia Kitchen By Mainland China,
Roots,
Meghana Foods,
Gramin,
Bonsouth,
Bathinda Junction,
Zee5 Loft,
Blue Tokai Coffee Roasters,
Empire Restaurant,
Mr. Beans - Home Cafe,
YORK St.,
Koshe Kosha,
Roundup Cafe,
What's In A Name,
Noodle Panda,
Karama Restaurant,
Wok Paper Scissors,
Carrots,
Magnolia,
Tangerine - Davanam Sarovar Portico Suites,
Cafe D'hide,
Shanmukha,
Waffle Magic,
Desipun,
154 Breakfast Club,
Barbeque Delight,
Fresh Pressery Cafe,
Aalishan Restaurant & Caterer,
Punjabi Nawabi,
The Yogisthaan Cafe,
Smokey Tribe Restaurant,
Bangaliana,
Haji Ali Juice Centre,
Little Lucknow,
Chaat Street,
Mustard Food Court,
Hotel Tom's Restaurant,
Punjabi Chulha,
Banana Beach Bar,
WTF,
Cashmere Nites,
Entropy Cafe,
Taj Darbar,
Uday Sweets,
Raj Darbar,
Punjabi Dhaba,
Shaap,
Tella Tales,
Dreams Cafe - All Day English Food St.,
Kota Kachori,
Nutri Rich,
Tenzin Kitchen,
Podi Idly,
Sagar Fast Food,
Leon Grill,
Tibetan Kitchen,
Polar Bear,
Subway,
Sonar Bangala,
KFC,
Ramji Chaiwale,
Chapati House,
Delhi Food Point,
Sagar Fast Food,
Laziz Pizza,
McDonald's,
Faasos,
Desi Flavours,
Chaska Bun,
Rolls & Co,
Delite Chaat House,
Min Mini Punjabi Dhaba,
Under The Hood,
Yummy Biryani,
Chowpatty,
Ghee Positive,
Dosa Plaza,
Mitran Da Junction,
Kinpeetos,
Paisa Vasool,
Friend's Cafe,
Mountain Spice,
Meat And Eat,
TOKI Taco House,
Pathaan Sir,
Tapri By The Corner,
Kevins Kitchen,
Chaiwala,
Mudpipe Cafe,
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,
Aasife & Brothers Biriyani Centre,
Zero Mile Punjab,
Birinz,
Savoury - Sea Shell Restaurant,
Kumarakom,
El Salver,
Savoury Restaurant,
Hello Resto-Pub,
Hotel Junior Kuppanna,
Sri Udupi Park,
Davanagere Benne Dose,
Sri Dalma,
Atithi,
HSR Agarval Bhavan,
#L-81 Cafe,
Kabab Magic,
Bakers Town,
Litti Twist,
Royal Biryani Kitchen,
Foodiesthan,
Habitts,
Mak n Vak - Fyn,
Fillers,
Kapoor's Biriyani,
The Biriyani Pedia,
Kairali,
Indori Chatorey,
Anda Ka Funda,
New Punjabi Hotel,
Krishna Sagar,
Dum Biryani Hub,
The Beer Cafe,
Fill N Chill Resto Bar & Pub,
The Bier Library,
What's In A Name,
Banana Beach Bar,
Bonsouth,
Buff Buffet Buff,
Sultans of Spice,
Asia Kitchen By Mainland China,
Empire Restaurant,
Magnolia,
Tangerine - Davanam Sarovar Portico Suites,
Savoury Restaurant,
YORK St.,
Roundup Cafe,
Cafe D'hide,
99 Pancakes,
Fresh Pressery Cafe,
WTF,
Cafe Coffee Day,
Tella Tales,
Zee5 Loft,
Blue Tokai Coffee Roasters,
Bearfoot Cafe,
Mr. Beans - Home Cafe,
Sardarji Londonwaley,
Shanmukha,
Sai Abhiruchi,
Fish Chain,
Kannur Food Point,
FreshMenu,
The Paratha Company,
Leon Grill,
Delhi Food Point,
Capsicum Family Restaurant,
La Pino'z Pizza,
Aligarh House,
Abhiruchi Hotel,
Truly Punjab,
Al-Bek,
Easy Bites,
Sagar Fast Food,
Gogula's Sweets & Chats,
Apna Punjab,
Empire Restaurant,
Biryani Pot,
Roti Wala,
Birinz,
Sri Ganesh Juice Junction,
Swad Punjab Da,
Hatti Punjab Di,
Kalingas,
Wok Paper Scissors,
Corner House Ice Cream,
XO Belgian Waffle,
Kota Kachori,
Paratha Junction,
Just Shawarma,
Punjabi Dhaba,
Subway,
Dum Biryani Hub,
Royal Biryani Kitchen,
Sulemani Chichas,
Maa Bhook Lagi,
Meghana Foods,
Behrouz Biryani,
Chaat Street,
Chai Point,
South Tiffins,
Zero Mile Punjab,
Vegan Heat,
Litti Twist,
Punjabi Nawabi,
KFC,
Savoury Restaurant,
Mahesh Friends Food Center,
Ghee Biryanis,
The Biriyani Pedia,
Alankrutha,
Bathinda Junction,
Sri Vishnu Park,
New Punjabi Hotel,
Potful,
Krishna Sagar,
Kabab Magic,
Sri Udupi Park,
Aasife & Brothers Biriyani Centre,
Asha Tiffins,
Amontron,
Tharavadu,
Ovenstory Pizza,
Sangam Sweets,
Odissi Restaurant,
Le Arabia,
Grow Fit,
Polar Bear,
Vijayalakshmi Veg,
Podi Idly,
Rajanna Military Hotel,
Savoury - Sea Shell Restaurant,
Noodle Panda,
Mealer.in,
Moolehatti Donne Biryani Mane,
ONE IN A MELON,
PHEW (Play Hard Eat Wild),
Chaiwala,
Szechuan Dragon,
C. K. Mega Hot Food,
Paisa Vasool,
Gorbandh,
Hotel Junior Kuppanna,
Howlin Wolf,
Stoned Monkey,
Pathaan Sir,
Bubble Bee,
Little Lucknow,
WTF,
The Pancake Story,
Asia Kitchen By Mainland China,
The Rasaganga,
Nutri Rich,
Marwa Restaurant,
Dosa Plaza,
Foodiesthan,
Gramin,
Zee5 Loft,
Yum In My Tum,
Delite Chaat House,
Chaatimes,
Tarbouche,
What'sinaPita,
Desi Flavours,
Kairali,
Krispy Kreme,
Tibetan Kitchen,
99 Pancakes,
Karahi Kitchen,
Once Upon A Flame,
The Shawarma Shop,
McDonald's,
Magix's Parattha Roll,
Tapri By The Corner,
Rolla Rappa,
Calorie Express,
Barbeque Delight,
Bangaliana,
Pappu Chaiwalla,
Anda Ka Funda,
Fritz Haber,
Firangi Bake,
1000 B.C,
Tenzin Kitchen,
El Salver,
The Mylapore Cafe,
Min Mini Punjabi Dhaba,
Kumarakom,
WAFL Co,
Bearfoot Cafe,
Belgian Waffle Factory,
Chowpatty,
DinePost9,
Fresh Pressery Cafe,
Waffle Magic,
House Stark Cafe,
Mitran Da Junction,
Makers of Milkshakes,
Faasos,
Biryani Miya,
Desipun,
Kick Out the Jams,
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,
Tall Blonde French,
Keventers,
Pizza Stop,
Bonsouth,
Nasi And Mee,
Sweet Truth,
Fillers,
Waffle Head,
Blue Tokai Coffee Roasters,
Ulavacharu,
Friend's Cafe,
Gud Dhani,
Sultans of Spice,
Koshe Kosha,
Srinidhi Sagar Deluxe,
Petoo,
Shaap,
Roots,
Juice Junction,
Laddoos,
Helloo Delhi,
Krem,
Punjabi Times,
Sonar Bangala,
Bakers Town,
Tree Top,
Cafe Coffee Day The Lounge,
The Yogisthaan Cafe,
Hunger Hitman,
Frozen Bottle,
Bakingo,
Zangos Grill,
Hotel Tom's Restaurant,
Bhavani Chats N Juice,
Juice Junction,
Chapati House,
Meat And Eat,
Parika Multicuisine & Coastal Fine Dine,
YORK St.,
What's In A Name,
Paratha Plaza,
Aalishan Restaurant & Caterer,
Sagar Fast Food,
Spicy Kitchen,
Cream Chemistry,
Terra Bites,
Indori Chatorey,
Indus Family Restaurant,
The Ganache Factory,
Funky Punjab,
Roundup Cafe,
Coffee Tea & More,
Waffle Stories,
The Belgian Waffle Co.,
Smokey Tribe Restaurant,
Cafe D'hide,
Shift,
HSR Agarval Bhavan,
Buff Buffet Buff,
Yummy Biryani,
The Marash,
Mudpipe Cafe,
Taj Darbar,
City Durbar,
Kalpavriksha Upahara,
154 Breakfast Club,
Chaska Bun,
Bun Town,
Mr. Beans - Home Cafe,
Just Bake,
Magnolia,
Mug N Bean,
Vintage Shack,
Via Milano,
Dreams Cafe - All Day English Food St.,
Baba Ka Dhaba,
Vyanjan,
Ramji Chaiwale,
Juice Junction Food Court,
Qube Cafe,
Oregano Pizzeria,
Cookie Man,
Mak n Vak - Fyn,
Rolls & Co,
Atithi,
The Beer Cafe,
Ghee Positive,
Mid Night Hunting,
Midnight Mania,
Carrots,
Uday Sweets,
ReFresh Juice Junction,
Pipabu,
Mustard Food Court,
TOKI Taco House,
Tandoor Garden,
Haagen Dazs,
Kinpeetos,
Laziz Pizza,
Tongue Twisters,
Kevins Kitchen,
Davanagere Benne Dose,
Mid-Night Crunch,
Potato Bae,
PagalKhana,
Rajvardhan Foods,
Entropy Cafe,
Dhaba Express,
Fill N Chill Resto Bar & Pub,
Habitts,
Tangerine - Davanam Sarovar Portico Suites,
B.M.W - Bhookh Mitaane Wala,
BOX8- Desi Meals,
Mountain Spice,
Eatsomnia,
Cashmere Nites,
Rollin,
Rajan's Cafe,
Nite Out,
Brewz Coffee,
Under The Hood,
Zero Kelvin,
Chef Master,
BIB - Breakfast in the Box,
Kapoor's Biriyani,
Raj Darbar,
Polamma's Mess,
Halo Chef,
Punjabi Chulha,
Banana Beach Bar,
The Kream Story,
Sagar Fast Food,
Haji Ali Juice Centre,
Tella Tales,
Mojo Pizza - 2X Toppings,
#L-81 Cafe,
Deja Vu Resto Bar,
Bonsouth,
XO Belgian Waffle,
Roundup Cafe,
Corner House Ice Cream,
Krem,
99 Pancakes,
Frozen Bottle,
The Marash,
Belgian Waffle Factory,
Fresh Pressery Cafe,
The Belgian Waffle Co.,
Cream Chemistry,
Just Bake,
Haji Ali Juice Centre,
Keventers,
Lassi Shop,
WAFL Co,
Uday Sweets,
The Bier Library,
Zee5 Loft,
Carrots,
Tangerine - Davanam Sarovar Portico Suites,
Vegan Heat,
Polar Bear,
Krispy Kreme,
Haagen Dazs,
Cookie Man,
Sangam Sweets,
The Kream Story,
Stoned Monkey,
Zero Kelvin,
Bakingo,
Oregano Pizzeria,
Choco Cheese,
Gogula's Sweets & Chats,
Bonsouth,
Buff Buffet Buff,
Sultans of Spice,
Ulavacharu,
Asia Kitchen By Mainland China,
Meghana Foods,
Bathinda Junction,
Empire Restaurant,
YORK St.,
Roundup Cafe,
What's In A Name,
Noodle Panda,
Karama Restaurant,
Wok Paper Scissors,
Cafe D'hide,
Shanmukha,
Desipun,
Barbeque Delight,
Fresh Pressery Cafe,
Haji Ali Juice Centre,
Little Lucknow,
WTF,
Taj Darbar,
Cafe Coffee Day,
Shaap,
Tella Tales,
Leon Grill,
Tibetan Kitchen,
Subway,
Pizza Hut,
Sonar Bangala,
McDonald's,
Chaska Bun,
Paratha Plaza,
Dosa Plaza,
Kinpeetos,
Tapri By The Corner,
The Bier Library,
Roots,
Gramin,
Nasi And Mee,
Zee5 Loft,
Blue Tokai Coffee Roasters,
The Beer Cafe,
Mr. Beans - Home Cafe,
Koshe Kosha,
Via Milano,
Carrots,
Magnolia,
Tangerine - Davanam Sarovar Portico Suites,
Pipabu,
PagalKhana,
154 Breakfast Club,
154 Breakfast Club,
Qube Cafe,
Terra Bites,
Fill N Chill Resto Bar & Pub,
Aalishan Restaurant & Caterer,
Punjabi Nawabi,
The Yogisthaan Cafe,
Smokey Tribe Restaurant,
Bangaliana,
Chaat Street,
Mustard Food Court,
Hotel Tom's Restaurant,
Punjabi Chulha,
Banana Beach Bar,
Cashmere Nites,
Entropy Cafe,
Helloo Delhi,
Uday Sweets,
Raj Darbar,
Punjabi Dhaba,
Dreams Cafe - All Day English Food St.,
Oregano Pizzeria,
Kota Kachori,
Nutri Rich,
La Pino'z Pizza,
Tenzin Kitchen,
Podi Idly,
Sagar Fast Food,
Polar Bear,
KFC,
Ramji Chaiwale,
Chapati House,
Sagar Fast Food,
Laziz Pizza,
Delhi Food Point,
Faasos,
Desi Flavours,
Rolls & Co,
Rollin,
Delite Chaat House,
Min Mini Punjabi Dhaba,
Under The Hood,
Yummy Biryani,
Litti Twist,
Ghee Positive,
Chowpatty,
Mitran Da Junction,
Paisa Vasool,
Mountain Spice,
Friend's Cafe,
Meat And Eat,
Pizza Stop,
TOKI Taco House,
Pathaan Sir,
WOW! Momo,
Kevins Kitchen,
Chaiwala,
Mudpipe Cafe,
Zero Mile Punjab,
Savoury - Sea Shell Restaurant,
El Salver,
Savoury Restaurant,
Abhiruchi Hotel,
Alankrutha,
Sri Vishnu Park,
Swad Punjab Da,
Indus Family Restaurant,
Just Shawarma,
Bakers Town,
Sagar Fast Food,
Vijayalakshmi Veg,
Royal Biryani Kitchen,
Habitts,
Kabab Magic,
Fillers,
Kapoor's Biriyani,
The Biriyani Pedia,
Kairali,
Indori Chatorey,
Anda Ka Funda,
New Punjabi Hotel,
Chaatimes,
Krishna Sagar,
Dum Biryani Hub,
Odissi Restaurant,
What's In A Name,
The Bier Library,
The Beer Cafe,
Fill N Chill Resto Bar & Pub,
Banana Beach Bar,
Buff Buffet Buff,
Asia Kitchen By Mainland China,
What's In A Name,
